Store,Date,Weekly_Sales,Holiday_Flag
1,5/2/2010,1643690.9,0
1,12/2/2010,1641957.44,1
1,19-02-2010,1611968.17,0
1,26-02-2010,1409727.59,0
1,5/3/2010,1554806.68,0
1,12/3/2010,1439541.59,0
1,19-03-2010,1472515.79,0
1,26-03-2010,1404429.92,0
1,2/4/2010,1594968.28,0
1,9/4/2010,1545418.53,0
1,16-04-2010,1466058.28,0
1,23-04-2010,1391256.12,0
1,30-04-2010,1425100.71,0
1,7/5/2010,1603955.12,0
1,14-05-2010,1494251.5,0
1,21-05-2010,1399662.07,0
1,28-05-2010,1432069.95,0
1,4/6/2010,1615524.71,0
1,11/6/2010,1542561.09,0
1,18-06-2010,1503284.06,0
1,25-06-2010,1422711.6,0
1,2/7/2010,1492418.14,0
1,9/7/2010,1546074.18,0
1,16-07-2010,1448938.92,0
1,23-07-2010,1385065.2,0
1,30-07-2010,1371986.6,0
1,6/8/2010,1605491.78,0
1,13-08-2010,1508237.76,0
1,20-08-2010,1513080.49,0
1,27-08-2010,1449142.92,0
1,3/9/2010,1540163.53,0
1,10/9/2010,1507460.69,1
1,17-09-2010,1430378.67,0
1,24-09-2010,1351791.03,0
1,1/10/2010,1453329.5,0
1,8/10/2010,1508239.93,0
1,15-10-2010,1459409.1,0
1,22-10-2010,1345454,0
1,29-10-2010,1384209.22,0
1,5/11/2010,1551659.28,0
1,12/11/2010,1494479.49,0
1,19-11-2010,1483784.18,0
1,26-11-2010,1955624.11,1
1,3/12/2010,1548033.78,0
1,10/12/2010,1682614.26,0
1,17-12-2010,1891034.93,0
1,24-12-2010,2387950.2,0
1,31-12-2010,1367320.01,1
1,7/1/2011,1444732.28,0
1,14-01-2011,1391013.96,0
1,21-01-2011,1327405.42,0
1,28-01-2011,1316899.31,0
1,4/2/2011,1606629.58,0
1,11/2/2011,1649614.93,1
1,18-02-2011,1686842.78,0
1,25-02-2011,1456800.28,0
1,4/3/2011,1636263.41,0
1,11/3/2011,1553191.63,0
1,18-03-2011,1576818.06,0
1,25-03-2011,1541102.38,0
1,1/4/2011,1495064.75,0
1,8/4/2011,1614259.35,0
1,15-04-2011,1559889,0
1,22-04-2011,1564819.81,0
1,29-04-2011,1455090.69,0
1,6/5/2011,1629391.28,0
1,13-05-2011,1604775.58,0
1,20-05-2011,1428218.27,0
1,27-05-2011,1466046.67,0
1,3/6/2011,1635078.41,0
1,10/6/2011,1588948.32,0
1,17-06-2011,1532114.86,0
1,24-06-2011,1438830.15,0
1,1/7/2011,1488538.09,0
1,8/7/2011,1534849.64,0
1,15-07-2011,1455119.97,0
1,22-07-2011,1396926.82,0
1,29-07-2011,1352219.79,0
1,5/8/2011,1624383.75,0
1,12/8/2011,1525147.09,0
1,19-08-2011,1530761.43,0
1,26-08-2011,1464693.46,0
1,2/9/2011,1550229.22,0
1,9/9/2011,1540471.24,1
1,16-09-2011,1514259.78,0
1,23-09-2011,1380020.27,0
1,30-09-2011,1394561.83,0
1,7/10/2011,1630989.95,0
1,14-10-2011,1493525.93,0
1,21-10-2011,1502562.78,0
1,28-10-2011,1445249.09,0
1,4/11/2011,1697229.58,0
1,11/11/2011,1594938.89,0
1,18-11-2011,1539483.7,0
1,25-11-2011,2033320.66,1
1,2/12/2011,1584083.95,0
1,9/12/2011,1799682.38,0
1,16-12-2011,1881176.67,0
1,23-12-2011,2270188.99,0
1,30-12-2011,1497462.72,1
1,6/1/2012,1550369.92,0
1,13-01-2012,1459601.17,0
1,20-01-2012,1394393.84,0
1,27-01-2012,1319325.59,0
1,3/2/2012,1636339.65,0
1,10/2/2012,1802477.43,1
1,17-02-2012,1819870,0
1,24-02-2012,1539387.83,0
1,2/3/2012,1688420.76,0
1,9/3/2012,1675431.16,0
1,16-03-2012,1677472.78,0
1,23-03-2012,1511068.07,0
1,30-03-2012,1649604.63,0
1,6/4/2012,1899676.88,0
1,13-04-2012,1621031.7,0
1,20-04-2012,1521577.87,0
1,27-04-2012,1468928.37,0
1,4/5/2012,1684519.99,0
1,11/5/2012,1611096.05,0
1,18-05-2012,1595901.87,0
1,25-05-2012,1555444.55,0
1,1/6/2012,1624477.58,0
1,8/6/2012,1697230.96,0
1,15-06-2012,1630607,0
1,22-06-2012,1527845.81,0
1,29-06-2012,1540421.49,0
1,6/7/2012,1769854.16,0
1,13-07-2012,1527014.04,0
1,20-07-2012,1497954.76,0
1,27-07-2012,1439123.71,0
1,3/8/2012,1631135.79,0
1,10/8/2012,1592409.97,0
1,17-08-2012,1597868.05,0
1,24-08-2012,1494122.38,0
1,31-08-2012,1582083.4,0
