Job_Role,Pay,Location,State,Submit_Date,Hire_Date
 VIDEO PRODUCT MARKETING MANAGER,125400,MENLO PARK CA,CA,2/19/2018,8/15/2018
ACCESS MANAGEMENT LEAD,114642,AUSTIN TX,TX,3/2/2018,8/28/2018
ADS PRODUCT MEASUREMENT,148000,MENLO PARK CA,CA,8/30/2018,9/10/2018
ADS PRODUCT STRATEGY LEAD,195000,MENLO PARK CA,CA,2/14/2018,2/26/2018
ADS PRODUCT STRATEGY LEAD,195000,MENLO PARK CA,CA,2/5/2018,8/1/2018
ADS RESEARCH LEAD,150000,NEW YORK NY,NY,3/9/2018,9/5/2018
ADVERTISING OPTIMIZATION RESEARCHER ,140419,MENLO PARK CA,CA,2/2/2018,7/26/2018
AMERICAS EDGE NETWORK DEPLOYMENT MANAGER,205000,MENLO PARK CA,CA,7/3/2018,7/16/2018
ANALYST,135000,SAN FRANCISCO CA,CA,10/30/2018,11/5/2018
ANALYST NEW PRODUCTS,125722,MENLO PARK CA,CA,1/4/2018,6/6/2018
ANALYST VISUALIZATION & INSIGHTS,96000,MENLO PARK CA,CA,4/13/2018,4/23/2018
ANALYST- MEDIA COMMUNITY DEVELOPMENT,135000,LOS ANGELES CA,CA,4/27/2018,5/7/2018
ANALYTICS ENGINEER,153960,NEW YORK NY,NY,8/8/2018,8/20/2018
ANALYTICS LEAD,155000,MENLO PARK CA,CA,10/22/2018,10/29/2018
ANALYTICS MANAGER,191831,SEATTLE WA,WA,3/2/2018,8/11/2018
ANTI-MONEY LAUNDERING PROCESS LEAD - PAYMENTS COMPLIANCE,122000,MENLO PARK CA,CA,8/14/2018,8/27/2018
APPLICATION DEVELOPER,145000,MENLO PARK CA,CA,2/6/2018,2/19/2018
APPLICATION DEVELOPER,150000,MENLO PARK CA,CA,8/30/2018,9/10/2018
APPLICATION DEVELOPER,170000,MENLO PARK CA,CA,9/11/2018,9/24/2018
APPLICATION DEVELOPER,170000,MENLO PARK CA,CA,9/24/2018,10/1/2018
APPLICATION SECURITY ENGINEER,120000,MENLO PARK CA,CA,11/16/2018,5/14/2019
APPLIED RESEARCH SCIENTIST,149191,MENLO PARK CA,CA,5/1/2018,5/1/2018
APPLIED RESEARCH SCIENTIST,185000,MENLO PARK CA,CA,1/19/2018,5/6/2018
APPLIED RESEARCH SCIENTIST,185000,MENLO PARK CA,CA,2/5/2018,8/5/2018
APPLIED RESEARCH SCIENTIST,185000,SEATTLE WA,WA,7/17/2018,7/23/2018
APPLIED RESEARCH SCIENTIST,190000,MENLO PARK CA,CA,9/20/2018,10/8/2018
APPLIED RESEARCH SCIENTIST,204489,NEW YORK NY,NY,2/2/2018,8/1/2018
ART DIRECTOR,183830,SAN FRANCISCO CA,CA,5/16/2018,5/28/2018
ASIC & FPGA DESIGN ENGINEER,148000,MENLO PARK CA,CA,6/13/2018,6/25/2018
ASIC & FPGA DESIGN ENGINEER,180000,MENLO PARK CA,CA,5/17/2018,5/28/2018
ASIC & FPGA DESIGN ENGINEER,210000,MENLO PARK CA,CA,7/17/2018,7/30/2018
ASIC & FPGA DESIGN ENGINEER,215000,MENLO PARK CA,CA,6/4/2018,6/11/2018
ASIC & FPGA ENGINEER,152000,MENLO PARK CA,CA,11/1/2018,11/19/2018
ASIC & FPGA ENGINEER,152000,MENLO PARK CA,CA,11/14/2018,11/19/2018
ASIC & FPGA ENGINEER,180000,MENLO PARK CA,CA,9/11/2018,10/1/2018
ASIC & FPGA ENGINEER,185000,MENLO PARK CA,CA,11/14/2018,11/19/2018
ASIC & FPGA ENGINEER,190000,MENLO PARK CA,CA,10/12/2018,10/22/2018
ASIC & FPGA ENGINEER,205000,MENLO PARK CA,CA,10/29/2018,11/5/2018
ASIC & FPGA ENGINEER,215000,MENLO PARK CA,CA,8/6/2018,8/20/2018
ASSOCIATE GENERAL COUNSEL,265106,MENLO PARK CA,CA,5/1/2018,8/6/2018
AUCTION AND DELIVERY MANAGER,205000,MENLO PARK CA,CA,4/20/2018,5/7/2018
AUDIO ALGORITHM SOFTWARE ENGINEER,180000,MENLO PARK CA,CA,10/2/2018,10/8/2018
AUDIO ENGINEER,200000,MENLO PARK CA,CA,8/24/2018,9/10/2018
AUDIO SOFTWARE ENGINEER,185000,MENLO PARK CA,CA,7/24/2018,8/6/2018
AUDIO SOFTWARE ENGINEER,200000,MENLO PARK CA,CA,5/21/2018,5/28/2018
AUTOMATION ENGINEER,100000,MENLO PARK CA,CA,2/6/2018,8/5/2018
AUTOMATION ENGINEER,165000,MENLO PARK CA,CA,5/9/2018,5/21/2018
AUTOMATION SPECIALIST MEDIA OPERATIONS,120000,MENLO PARK CA,CA,9/5/2018,9/10/2018
BI ENGINEER,120000,MENLO PARK CA,CA,1/30/2018,7/27/2018
BRAND STRATEGIST,170000,SAN FRANCISCO CA,CA,5/30/2018,6/11/2018
BUSINESS ANALYST,93500,MENLO PARK CA,CA,2/5/2018,8/2/2018
BUSINESS ANALYST,95000,NEW YORK NY,NY,4/27/2018,5/7/2018
BUSINESS ANALYST,110000,MENLO PARK CA,CA,1/23/2018,2/5/2018
BUSINESS ANALYST,120000,MENLO PARK CA,CA,4/26/2018,5/7/2018
BUSINESS ANALYST,135000,MENLO PARK CA,CA,7/13/2018,7/23/2018
BUSINESS ANALYST,137000,MENLO PARK CA,CA,1/25/2018,7/24/2018
BUSINESS ANALYST,145000,MENLO PARK CA,CA,1/31/2018,2/12/2018
BUSINESS ANALYST LEADERSHIP RECRUITING,120000,NEW YORK NY,NY,2/2/2018,8/1/2018
BUSINESS APPLICATIONS DIRECTOR,265141,MENLO PARK CA,CA,8/17/2018,2/16/2019
BUSINESS APPLICATIONS MANAGER,234000,MENLO PARK CA,CA,8/21/2018,9/3/2018
BUSINESS ASSOCIATE,103264,MENLO PARK CA,CA,1/30/2018,7/29/2018
BUSINESS DEVELOPMENT MANAGER AI APPLICATIONS,168000,MENLO PARK CA,CA,7/9/2018,7/16/2018
BUSINESS DEVELOPMENT MANAGER LOCATION SERVICES,200000,MENLO PARK CA,CA,7/16/2018,7/30/2018
BUSINESS GROWTH ANALYTICS LEAD,181154,MENLO PARK CA,CA,1/26/2018,7/24/2018
BUSINESS INTEGRITY ASSOCIATE,82508,AUSTIN TX,TX,1/26/2018,7/26/2018
BUSINESS INTEGRITY ASSOCIATE,82508,AUSTIN TX,TX,1/26/2018,7/24/2018
BUSINESS INTEGRITY ASSOCIATE,85000,AUSTIN TX,TX,10/11/2018,10/29/2018
