Job_Role,Pay,Location,State,Submit_Date,Hire_Date
,115000,KIRKLAND WA,WA,1/26/2018,7/25/2018
,155000,SUNNYVALE CA,CA,11/5/2018,11/15/2018
ACCOUNT MANAGER ,77500,ANN ARBOR MI,MI,2/16/2018,7/30/2018
ACCOUNT MANAGER ,75500,CHICAGO IL,IL,2/7/2018,8/3/2018
ACCOUNT STRATEGIST  ,92000,MOUNTAIN VIEW CA,CA,2/2/2018,7/30/2018
ACCOUNT STRATEGIST ,97000,CHICAGO IL,IL,9/13/2018,10/9/2018
ACCOUNT STRATEGIST ,76500,CHICAGO IL,IL,2/15/2018,8/14/2018
ACCOUNT STRATEGIST ,90800,MOUNTAIN VIEW CA,CA,2/8/2018,2/19/2018
ACCOUNT STRATEGIST ,90000,MOUNTAIN VIEW CA,CA,2/16/2018,8/16/2018
ACCOUNT STRATEGIST ,86008,MOUNTAIN VIEW CA,CA,2/20/2018,8/19/2018
ACCOUNT STRATEGIST ,95000,NEW YORK NY,NY,2/24/2018,8/8/2018
ACCOUNT STRATEGIST ,75500,NEW YORK NY,NY,5/25/2018,6/4/2018
ACCOUNT STRATEGIST ,96000,MOUNTAIN VIEW CA,CA,8/29/2018,9/3/2018
ACCOUNTANT ,105000,SUNNYVALE CA,CA,2/6/2018,8/2/2018
ACCOUNTANT ,124000,SUNNYVALE CA,CA,3/27/2018,4/2/2018
ACCOUNTANT ,170000,SUNNYVALE CA,CA,1/24/2018,3/9/2018
ACCOUNTANT ,102000,SUNNYVALE CA,CA,2/5/2018,8/6/2018
ACCOUNTANT ,103000,SUNNYVALE CA,CA,1/30/2018,7/25/2018
ACCOUNTANT ,133000,SUNNYVALE CA,CA,2/2/2018,8/3/2018
ACCOUNTANT ,109000,SUNNYVALE CA,CA,2/5/2018,8/3/2018
ACCOUNTANT ,138000,MOUNTAIN VIEW CA,CA,2/20/2018,2/27/2018
ACCOUNTANT ,84000,MOUNTAIN VIEW CA,CA,9/19/2018,9/26/2018
ACCOUNTANT ,84000,MOUNTAIN VIEW CA,CA,8/27/2018,9/3/2018
ACCOUNTANT ,145000,SUNNYVALE CA,CA,6/15/2018,6/20/2018
ACCOUNTANT ,133000,SUNNYVALE CA,CA,9/7/2018,9/13/2018
ACCOUNTANT ,109000,SUNNYVALE CA,CA,10/16/2018,10/23/2018
ACCOUNTANT ,133000,SUNNYVALE CA,CA,9/25/2018,10/2/2018
ACCOUNTING MANAGER ,166000,SUNNYVALE CA,CA,4/23/2018,4/30/2018
AGENCY DEVELOPMENT MANAGER ,107000,MOUNTAIN VIEW CA,CA,4/19/2018,4/23/2018
ANALYST STAFFING AND OPERATIONS ,108000,MOUNTAIN VIEW CA,CA,5/7/2018,5/14/2018
ANALYST TRUST AND SAFETY ,102500,SUNNYVALE CA,CA,4/4/2018,4/11/2018
ANALYTICAL LEAD,71000,CHICAGO IL,IL,9/27/2018,10/8/2018
ANALYTICAL LEAD ,104000,SAN FRANCISCO CA,CA,3/29/2018,4/3/2018
ANALYTICAL LEAD ,71000,CHICAGO IL,IL,5/9/2018,5/14/2018
ANALYTICAL LEAD ,710000,CHICAGO IL,IL,5/7/2018,5/14/2018
ANALYTICAL LEAD ,87500,ATLANTA GA,GA,5/29/2018,6/5/2018
ANALYTICAL LEAD ,87500,ATLANTA GA,GA,5/31/2018,6/5/2018
ANALYTICAL LINGUIST ,139600,MOUNTAIN VIEW CA,CA,8/2/2018,8/6/2018
ANALYTICAL LINGUIST ,140000,NEW YORK NY,NY,5/22/2018,5/28/2018
ANTI-ABUSE ENGINEER ,109000,MOUNTAIN VIEW CA,CA,10/4/2018,2/8/2019
ANTI-ABUSE ENGINEER ,109000,MOUNTAIN VIEW CA,CA,10/10/2018,2/8/2019
ANTI-ABUSE ENGINEER ,109000,MOUNTAIN VIEW CA,CA,11/7/2018,2/8/2019
APPLICATION ENGINEER ,129000,SUNNYVALE CA,CA,10/2/2018,1/2/2019
APPLICATION ENGINEER ,108000,SUNNYVALE CA,CA,1/26/2018,7/24/2018
APPLICATION ENGINEER ,108000,SUNNYVALE CA,CA,2/6/2018,8/2/2018
APPLICATION ENGINEER ,104000,SUNNYVALE CA,CA,1/31/2018,7/28/2018
APPLICATION ENGINEER ,140000,SUNNYVALE CA,CA,7/3/2018,7/16/2018
APPLICATION ENGINEER ,145000,SUNNYVALE CA,CA,7/17/2018,7/23/2018
APPLICATION ENGINEER ,150000,SUNNYVALE CA,CA,8/2/2018,8/6/2018
APPLICATION ENGINEER ,140000,AUSTIN TX,TX,10/1/2018,10/8/2018
APPLICATION ENGINEER ,131000,SUNNYVALE CA,CA,5/22/2018,10/1/2018
APPLICATION ENGINEER ,128000,SUNNYVALE CA,CA,5/23/2018,8/20/2018
APPLICATION ENGINEER ,118000,SUNNYVALE CA,CA,2/6/2018,8/4/2018
APPLICATION ENGINEER ,118000,SUNNYVALE CA,CA,2/2/2018,7/31/2018
APPLICATION ENGINEER ,108000,SUNNYVALE CA,CA,1/31/2018,7/23/2018
APPLICATION ENGINEER ,108000,SUNNYVALE CA,CA,2/5/2018,8/2/2018
APPLICATION ENGINEER ,130000,SUNNYVALE CA,CA,1/3/2018,6/2/2018
APPLICATION ENGINEER ,125000,SUNNYVALE CA,CA,1/23/2018,7/11/2018
APPLICATION ENGINEER ,108000,SUNNYVALE CA,CA,2/2/2018,8/4/2018
APPLICATION ENGINEER ,116000,SUNNYVALE CA,CA,2/6/2018,8/3/2018
APPLICATION ENGINEER ,108000,SUNNYVALE CA,CA,1/19/2018,7/11/2018
APPLICATION ENGINEER ,108000,SUNNYVALE CA,CA,2/6/2018,8/4/2018
APPLICATION ENGINEER ,158000,MOUNTAIN VIEW CA,CA,2/2/2018,7/31/2018
APPLICATION ENGINEER ,104000,SUNNYVALE CA,CA,1/29/2018,7/17/2018
APPLICATION ENGINEER ,104000,SUNNYVALE CA,CA,1/30/2018,7/25/2018
APPLICATION ENGINEER ,119000,SUNNYVALE CA,CA,1/26/2018,7/25/2018
APPLICATION ENGINEER ,104000,SUNNYVALE CA,CA,1/29/2018,7/19/2018
APPLICATION ENGINEER ,104000,SUNNYVALE CA,CA,1/23/2018,7/11/2018
APPLICATION ENGINEER ,122000,SUNNYVALE CA,CA,1/29/2018,7/13/2018
APPLICATION ENGINEER ,150000,SUNNYVALE CA,CA,3/22/2018,3/27/2018
APPLICATION ENGINEER ,156000,SUNNYVALE CA,CA,4/10/2018,4/13/2018
APPLICATION ENGINEER ,120000,SUNNYVALE CA,CA,7/2/2018,7/9/2018
APPLICATION ENGINEER ,118000,SUNNYVALE CA,CA,7/12/2018,7/19/2018
APPLICATION ENGINEER ,150000,SUNNYVALE CA,CA,8/2/2018,8/2/2018
APPLICATION ENGINEER ,156000,MOUNTAIN VIEW CA,CA,7/27/2018,8/1/2018
APPLICATION ENGINEER ,120000,SUNNYVALE CA,CA,8/3/2018,8/10/2018
APPLICATION ENGINEER ,143000,AUSTIN TX,TX,8/28/2018,8/30/2018
APPLICATION ENGINEER ,140000,SUNNYVALE CA,CA,10/17/2018,10/24/2018
APPLICATION ENGINEER ,134000,MOUNTAIN VIEW CA,CA,11/12/2018,11/20/2018
APPLICATION ENGINEER ,145000,NEW YORK NY,NY,10/24/2018,11/5/2018
APPLICATION ENGINEER ,117000,SUNNYVALE CA,CA,10/23/2018,10/25/2018
APPLICATION ENGINEER ,155000,SUNNYVALE CA,CA,11/13/2018,12/3/2018
APPLICATION ENGINEER ,122000,SUNNYVALE CA,CA,11/12/2018,11/16/2018
APPLICATION ENGINEER ,150102,MOUNTAIN VIEW CA,CA,1/24/2018,7/19/2018
APPLICATIONS ENGINEER ,120000,SUNNYVALE CA,CA,1/19/2018,7/11/2018
APPLICATIONS ENGINEER ,104000,SUNNYVALE CA,CA,2/5/2018,7/24/2018
APPLICATIONS ENGINEER ,175000,SUNNYVALE CA,CA,1/11/2018,7/10/2018
APPLICATIONS ENGINEER ,133000,AUSTIN TX,TX,9/26/2018,10/1/2018
APPLICATIONS ENGINEER ,148000,MOUNTAIN VIEW CA,CA,2/6/2018,2/12/2018
APPLICATIONS ENGINEER ,134000,SUNNYVALE CA,CA,3/26/2018,3/30/2018
APPLICATIONS ENGINEER ,110000,NEW YORK NY,NY,9/7/2018,10/1/2018
ASSOCIATE BUSINESS INTELLIGENCE ANALYST  ,76000,SUNNYVALE CA,CA,2/15/2018,7/24/2018
ASSOCIATE PRINCIPAL TRUST & SAFETY ,157000,SUNNYVALE CA,CA,3/23/2018,9/22/2018
ASSOCIATE PRODUCT MANAGER ,120000,MOUNTAIN VIEW CA,CA,2/8/2018,8/8/2018
ASSOCIATE PRODUCT MARKETING MANAGER ,95000,MOUNTAIN VIEW CA,CA,2/1/2018,7/31/2018
ASSOCIATE PRODUCT MARKETING MANAGER ,91000,MOUNTAIN VIEW CA,CA,3/9/2018,8/9/2018
ASSOCIATE PRODUCT MARKETING MANAGER ,91000,MOUNTAIN VIEW CA,CA,1/24/2018,7/17/2018
ASSOCIATE PRODUCT MARKETING MANAGER ,91000,MOUNTAIN VIEW CA,CA,1/26/2018,7/25/2018
ASSOCIATE PRODUCT MARKETING MANAGER ,98000,MOUNTAIN VIEW CA,CA,9/20/2018,9/27/2018
ASSOCIATE SALES OPERATION LEAD ,142000,AUSTIN TX,TX,5/7/2018,10/1/2018
AUDIO HARDWARE ENGINEER ,166800,MOUNTAIN VIEW CA,CA,7/30/2018,11/12/2018
AUDIT MANAGER ,170000,SUNNYVALE CA,CA,1/23/2018,7/20/2018
AUDITOR ,86500,SUNNYVALE CA,CA,3/22/2018,3/26/2018
AUDITOR ,145000,SUNNYVALE CA,CA,3/14/2018,3/16/2018
AUDITOR ,85500,SUNNYVALE CA,CA,4/20/2018,4/23/2018
BUSINESS ANALYST ,108000,MOUNTAIN VIEW CA,CA,1/2/2018,1/9/2018
BUSINESS ANALYST ,130000,MOUNTAIN VIEW CA,CA,3/1/2018,3/8/2018
BUSINESS ANALYST ,140000,SUNNYVALE CA,CA,3/16/2018,3/26/2018
BUSINESS ANALYST ,120000,MOUNTAIN VIEW CA,CA,7/3/2018,7/16/2018
BUSINESS ANALYST ,138000,MOUNTAIN VIEW CA,CA,8/31/2018,10/1/2018
BUSINESS ANALYST ,112000,MOUNTAIN VIEW CA,CA,1/10/2018,7/9/2018
BUSINESS ANALYST ,123000,MOUNTAIN VIEW CA,CA,7/25/2018,10/15/2018
BUSINESS ANALYST ,126000,MOUNTAIN VIEW CA,CA,11/8/2018,4/20/2019
BUSINESS ANALYST ,126000,PALO ALTO CA,CA,1/31/2018,7/25/2018
BUSINESS ANALYST ,107000,MOUNTAIN VIEW CA,CA,8/31/2018,9/24/2018
BUSINESS ANALYST ,107000,MOUNTAIN VIEW CA,CA,8/31/2018,9/24/2018
BUSINESS ANALYST ,155000,MOUNTAIN VIEW CA,CA,2/12/2018,8/12/2018
BUSINESS ANALYST ,136000,MOUNTAIN VIEW CA,CA,8/31/2018,2/8/2019
BUSINESS ANALYST ,108000,MOUNTAIN VIEW CA,CA,2/1/2018,2/8/2018
