Job_Role,Pay,Location,State,Submit_Date,Submit_Date_Mo,Submit_Date_Yr,Hire_Date,Hire_Date_Mo,Hire_Date_Yr
ACCOUNT EXECUTIVE MEDIUM ENTERPRISE,91624,NEW YORK NY,NY,03/27/2018,03,2018,06/18/2018,06,2018
ACCOUNT EXECUTIVE MEDIUM ENTERPRISE,120000,NEW YORK NY,NY,08/15/2016,08,2016,08/22/2016,08,2016
ADVANCED LEVEL R&D SCIENTIST,93621,SANTA CLARA CA,CA,02/01/2018,02,2018,08/01/2018,08,2018
APPLICATION DEVELOPER,98000,PLEASANTON CA,CA,01/07/2015,01,2015,02/13/2015,02,2015
APPLICATION DEVELOPER,105000,PLEASANTON CA,CA,10/18/2013,10,2013,11/11/2013,11,2013
APPLICATION DEVELOPER,115000,PLEASANTON CA,CA,01/28/2014,01,2014,02/10/2014,02,2014
APPLICATION DEVELOPER,115000,PLEASANTON CA,CA,02/27/2014,02,2014,03/17/2014,03,2014
APPLICATION SECURITY ARCHITECT,160000,PLEASANTON CA,CA,06/18/2015,06,2015,06/29/2015,06,2015
APPLICATION SECURITY ARCHITECT,160000,PLEASANTON CA,CA,06/24/2015,06,2015,12/10/2015,12,2015
ART DIRECTOR,96000,SAN FRANCISCO CA,CA,04/21/2014,04,2014,05/12/2014,05,2014
ASSOCIATE DATA SCIENTIST,105000,PLEASANTON CA,CA,03/15/2016,03,2016,09/08/2016,09,2016
ASSOCIATE DATA SCIENTIST,105000,SAN FRANCISCO CA,CA,03/15/2016,03,2016,09/10/2016,09,2016
ASSOCIATE MANAGER APPLICATION DEVELOPMENT,116975,PLEASANTON CA,CA,03/13/2017,03,2017,03/27/2017,03,2017
ASSOCIATE SOFTWARE DEVELOPMENT ENGINEER,90000,PLEASANTON CA,CA,03/04/2016,03,2016,08/17/2016,08,2016
ASSOCIATE SOFTWARE DEVELOPMENT ENGINEER,95000,PLEASANTON CA,CA,03/13/2014,03,2014,09/11/2014,09,2014
AUTOMATION ARCHITECT,145000,PLEASANTON CA,CA,03/28/2016,03,2016,04/11/2016,04,2016
AUTOMATION ARCHITECT ENGINEER,147181,PLEASANTON CA,CA,07/17/2018,07,2018,07/23/2018,07,2018
AUTOMATION ENGINEER,65582,PLEASANTON CA,CA,01/31/2017,01,2017,02/27/2017,02,2017
AUTOMATION ENGINEER,87339,PLEASANTON CA,CA,07/14/2017,07,2017,07/31/2017,07,2017
AUTOMATION ENGINEER,103064,PLEASANTON CA,CA,08/10/2018,08,2018,08/15/2018,08,2018
AUTOMATION ENGINEER,107266,PLEASANTON CA,CA,06/27/2017,06,2017,12/26/2017,12,2017
AUTOMATION ENGINEER,109325,PLEASANTON CA,CA,01/31/2018,01,2018,02/06/2018,02,2018
AUTOMATION ENGINEER,109325,PLEASANTON CA,CA,03/12/2018,03,2018,03/19/2018,03,2018
AUTOMATION ENGINEER,109325,PLEASANTON CA,CA,12/27/2017,12,2017,01/15/2018,01,2018
AUTOMATION ENGINEER,109325,PLEASANTON CA,CA,06/28/2018,06,2018,07/05/2018,07,2018
BUSINESS ANALYST,79934,PLEASANTON CA,CA,11/15/2017,11,2017,11/21/2017,11,2017
